antibodytarget,cellline,tissue,cid,compound,concentration,concordancetable,datasetid,factor,level1,level2,libraryid,lincspertid,nCtrSamples,nTrtSamples,peaktype,platform,signatureid,lincsSigID,organism,clueIoCompound,integratedMoas,GeneTargets,time,treatment,perturbagenID,stitchID,pubChemID,is_exemplar,pert_type
,MCF7,breast,cID_1000,primaquine,8.8uM,concordanceLib2,,perturbagen,primaquine_0.0000088,control,LIB_2,LSM-1649,11.0,2.0,,,CMAP_1000,,,,Antimalarial agent|DNA inhibitor,,,primaquine,,CID4908,4908,,
,MCF7,breast,cID_102,amitriptyline,12.8uM,concordanceLib2,,perturbagen,amitriptyline_0.0000128,control,LIB_2,LSM-3190,11.0,2.0,,,CMAP_102,,,,Serotonin transporter inhibitor|Norepinephrine transporter inhibitor,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HTR6|SLC6A2|SLC6A4,,amitriptyline,,CID2160,2160,,
,MCF7,breast,cID_1022,mefloquine,9.6uM,concordanceLib2,,perturbagen,mefloquine_0.0000096,control,LIB_2,LSM-5525,12.0,2.0,,,CMAP_1022,,,,Adenosine receptor antagonist|Hemoglobin antagonist,,,mefloquine,,CID40692,40692,,
,PC3,prostate,cID_1023,mefloquine,9.6uM,concordanceLib2,,perturbagen,mefloquine_0.0000096,control,LIB_2,LSM-5525,12.0,2.0,,,CMAP_1023,,,,Adenosine receptor antagonist|Hemoglobin antagonist,,,mefloquine,,CID40692,40692,,
,MCF7,breast,cID_1028,astemizole,8.8uM,concordanceLib2,,perturbagen,astemizole_0.0000088,control,LIB_2,LSM-5502,12.0,2.0,,,CMAP_1028,,,,Histamine H1 receptor antagonist,HRH1|KCNH2,,astemizole,,CID2247,2247,,
,PC3,prostate,cID_1029,astemizole,8.8uM,concordanceLib2,,perturbagen,astemizole_0.0000088,control,LIB_2,LSM-5502,12.0,2.0,,,CMAP_1029,,,,Histamine H1 receptor antagonist,HRH1|KCNH2,,astemizole,,CID2247,2247,,
,PC3,prostate,cID_103,amitriptyline,12.8uM,concordanceLib2,,perturbagen,amitriptyline_0.0000128,control,LIB_2,LSM-3190,12.0,2.0,,,CMAP_103,,,,Serotonin transporter inhibitor|Norepinephrine transporter inhibitor,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HTR6|SLC6A2|SLC6A4,,amitriptyline,,CID2160,2160,,
,MCF7,breast,cID_1034,ivermectin,4.6uM,concordanceLib2,,perturbagen,ivermectin_0.0000046,control,LIB_2,LSM-42824,12.0,2.0,,,CMAP_1034,,,,GABA receptor agonist,,,ivermectin,,CID45114068,45114068,,
,MCF7,breast,cID_1046,disulfiram,13.4uM,concordanceLib2,,perturbagen,disulfiram_0.0000134,control,LIB_2,LSM-5467,12.0,2.0,,,CMAP_1046,,,,Aldehyde dehydrogenase inhibitor,ALDH2,,disulfiram,,CID3117,3117,,
,PC3,prostate,cID_1047,disulfiram,13.4uM,concordanceLib2,,perturbagen,disulfiram_0.0000134,control,LIB_2,LSM-5467,12.0,2.0,,,CMAP_1047,,,,Aldehyde dehydrogenase inhibitor,ALDH2,,disulfiram,,CID3117,3117,,
