Specific MeSH Terms,Nº Signatures
Prostatic Neoplasms,1657
Breast Neoplasms,701
"Muscular Dystrophy, Emery-Dreifuss",484
Lung Neoplasms,428
"Carcinoma, Non-Small-Cell Lung",408
"Leukemia, Lymphocytic, Chronic, B-Cell",351
Brain Neoplasms,284
"Carcinoma, Renal Cell",224
Glioblastoma,222
"Carcinoma, Ductal, Breast",216
"Carcinoma, Squamous Cell",212
HIV Infections,203
Medulloblastoma,196
Glioma,176
Colorectal Neoplasms,174
"Lymphoma, Follicular",174
"Muscular Dystrophy, Facioscapulohumeral",171
Pancreatic Neoplasms,168
Multiple Myeloma,136
"Diabetes Mellitus, Type 2",129
Melanoma,128
Cystic Fibrosis,120
Adenocarcinoma,115
Progeria,114
"Lymphoma, B-Cell",109
Colonic Neoplasms,105
"Carcinoma, Hepatocellular",105
"Carcinoma, Lobular",102
Prostatic Hyperplasia,102
"Lymphoma, Large B-Cell, Diffuse",99
Glycogen Storage Disease Type II,96
Tuberculosis,87
Cryptosporidiosis,85
"Disease Models, Animal",83
"Dermatitis, Atopic",80
"Multiple Sclerosis, Relapsing-Remitting",78
Urinary Bladder Neoplasms,78
"Influenza, Human",72
Nasopharyngeal Neoplasms,72
Leukemia,70
"Carcinoma, Pancreatic Ductal",68
Precursor Cell Lymphoblastic Leukemia-Lymphoma,66
Burkitt Lymphoma,60
"Muscular Dystrophy, Duchenne",60
Testicular Neoplasms,58
Uterine Cervical Neoplasms,56
"Leukemia, Myeloid, Acute",55
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,51
Ovarian Neoplasms,51
Coronary Artery Disease,51
Lymphoma,48
Atherosclerosis,47
Prostatic Intraepithelial Neoplasia,47
Endometrial Neoplasms,45
"Histiocytoma, Malignant Fibrous",45
Hypopharyngeal Neoplasms,44
Central Nervous System Neoplasms,42
MELAS Syndrome,42
Multiple Sclerosis,41
Diabetes Mellitus,40
Hodgkin Disease,39
"Leukemia, T-Cell",39
Obesity,38
Osteosarcoma,38
Esophageal Neoplasms,36
Bone Neoplasms,34
"Colitis, Ulcerative",33
Polycystic Ovary Syndrome,33
Stomach Neoplasms,32
Arteriosclerosis,32
Cerebellar Neoplasms,30
"Lymphoma, AIDS-Related",30
"Hypertension, Pulmonary",28
"Leukemia, Promyelocytic, Acute",28
Williams Syndrome,28
Liposarcoma,28
Kidney Neoplasms,27
"Dermatitis, Allergic Contact",27
Asthma,26
Skin Neoplasms,26
Bronchitis,26
"Arthritis, Rheumatoid",25
Insulin Resistance,25
Fibrosarcoma,24
Myocardial Reperfusion Injury,24
Pituitary Neoplasms,23
"Arthritis, Juvenile",23
"Sarcoma, Ewing",23
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",22
Acanthosis Nigricans,22
Parkinson Disease,21
"Anemia, Sickle Cell",21
Rectal Neoplasms,20
Fragile X Syndrome,20
Tuberous Sclerosis,20
Pseudomonas Infections,18
"Breast Neoplasms, Male",18
"Cardiomyopathy, Dilated",18
Neoplasms,18
Rett Syndrome,18
Androgen-Insensitivity Syndrome,18
Alzheimer Disease,16
"Lung Diseases, Interstitial",16
Carcinoma in Situ,16
Huntington Disease,16
"Hepatitis C, Chronic",16
"Leukemia, Biphenotypic, Acute",15
"Malaria, Falciparum",15
Sjogren's Syndrome,15
"Carcinoma, Transitional Cell",15
"Leukemia, Monocytic, Acute",15
Uterine Neoplasms,15
Adrenocortical Carcinoma,15
Simian Acquired Immunodeficiency Syndrome,14
"Leukemia, Myeloid",14
Crohn Disease,14
"Pulmonary Disease, Chronic Obstructive",13
Occupational Diseases,13
Idiopathic Pulmonary Fibrosis,12
"Scleroderma, Systemic",12
Muscular Atrophy,12
Peritoneal Neoplasms,12
Prediabetic State,12
Mitochondrial Myopathies,12
"Tuberculosis, Meningeal",12
Gingival Recession,12
Sepsis,12
"Leukemia-Lymphoma, Adult T-Cell",12
Pleural Neoplasms,12
Dermatomyositis,12
"Carcinoma, Intraductal, Noninfiltrating",12
"Lymphoma, Large-Cell, Immunoblastic",12
Influenza in Birds,12
Neoplasm Invasiveness,11
"Cell Transformation, Neoplastic",11
Lung Diseases,11
"Obesity, Morbid",10
Adrenoleukodystrophy,10
Mesothelioma,10
"Leukoencephalopathy, Progressive Multifocal",10
Leiomyoma,10
Ectodermal Dysplasia,10
Myelodysplastic Syndromes,9
"Infertility, Male",9
Gastrointestinal Neoplasms,9
Adrenal Gland Neoplasms,9
AIDS Dementia Complex,8
"Tuberculosis, Pulmonary",8
Osteoporosis,8
Down Syndrome,8
Barrett Esophagus,8
Hypersensitivity,8
Acne Vulgaris,8
Adrenocortical Adenoma,8
Gonorrhea,8
Glycosuria,8
Gastritis,8
Hyperinsulinism,7
Primary Myelofibrosis,7
Psoriasis,7
Measles,7
Skin Diseases,7
Waldenstrom Macroglobulinemia,7
Pulmonary Emphysema,7
Seminoma,7
Spondylarthropathies,7
Placenta Diseases,7
"Colorectal Neoplasms, Hereditary Nonpolyposis",7
"Carcinoma, Small Cell",7
Familial Mediterranean Fever,7
Thrombocytopenia,6
"Diabetes Mellitus, Type 1",6
Familial Primary Pulmonary Hypertension,6
Hemoglobinopathies,6
Fatty Liver,6
"Typhus, Epidemic Louse-Borne",6
Pancreatic Pseudocyst,6
"Pancreatitis, Chronic",6
Abscess,6
"Hyperlipidemia, Familial Combined",6
Gingival Hemorrhage,6
Periodontal Pocket,6
"Leukemia, Prolymphocytic",6
"Neoplasm Recurrence, Local",6
Respiratory Distress Syndrome,6
Uterine Diseases,6
Mouth Neoplasms,6
Heart Failure,6
Myocardial Ischemia,6
"Sarcoma, Clear Cell",6
"Leukemia, Plasma Cell",6
Heart Diseases,6
Respiratory Tract Infections,6
alpha 1-Antitrypsin Deficiency,6
"Muscular Dystrophies, Limb-Girdle",6
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,6
Dementia,6
Klebsiella Infections,6
Diabetic Cardiomyopathies,6
"Sarcoidosis, Pulmonary",6
Uterine Prolapse,6
Pre-Eclampsia,5
Metabolic Syndrome,5
Epidermolysis Bullosa Simplex,5
Pulmonary Fibrosis,5
HIV Wasting Syndrome,5
Amyotrophic Lateral Sclerosis,5
Marfan Syndrome,5
Oligodendroglioma,4
Liver Neoplasms,4
Uveal Neoplasms,4
"Encephalomyelitis, Autoimmune, Experimental",4
"Neoplasms, Basal Cell",4
Hypertriglyceridemia,4
Lymphatic Metastasis,4
Endometriosis,4
Carcinoma,4
Cytomegalovirus Infections,4
Osteochondrodysplasias,4
Retinoblastoma,4
Hyperandrogenism,4
Celiac Disease,4
Hemorrhagic Disorders,4
Macular Degeneration,4
Thyroid Neoplasms,4
"Leukemia, Myeloid, Chronic-Phase",4
"Dysentery, Amebic",4
"Toxoplasmosis, Animal",4
Blast Crisis,4
"Mammary Neoplasms, Animal",4
Calcinosis,4
Contracture,4
Bronchopulmonary Dysplasia,4
Helicobacter Infections,4
Respiratory Insufficiency,3
Kidney Diseases,3
Neoplasm Metastasis,3
Cardiovascular Diseases,3
Cardiomyopathies,3
Wounds and Injuries,3
Rotavirus Infections,3
Growth Hormone-Secreting Pituitary Adenoma,3
Prolactinoma,3
Vulvar Neoplasms,3
"Hepatitis, Alcoholic",3
"Cystadenocarcinoma, Serous",3
Diabetic Neuropathies,2
Salivary Gland Neoplasms,2
Intracranial Aneurysm,2
Leukopenia,2
"Genetic Diseases, Inborn",2
Papillomavirus Infections,2
Mycobacterium Infections,2
Osteoarthritis,2
Neuroblastoma,2
TDP-43 Proteinopathies,2
"Rhabdomyosarcoma, Alveolar",2
Aortic Aneurysm,2
Glucose Intolerance,2
Central Nervous System Diseases,2
Demyelinating Diseases,2
Thrombocytosis,2
Astrocytoma,2
Diabetic Nephropathies,2
Esophagitis,2
"Dermatitis, Contact",2
Neural Tube Defects,2
"Carcinoma, Papillary",2
Thrombophilia,2
"Leukemia, Myelomonocytic, Acute",2
Hepatitis B,2
Gram-Negative Bacterial Infections,2
Severe Acute Respiratory Syndrome,2
"Melanoma, Experimental",2
"Anemia, Diamond-Blackfan",2
Cerebral Palsy,2
Mitochondrial Diseases,2
Coronary Occlusion,2
"Adenocarcinoma, Papillary",2
Keloid,2
"Neoplasms, Experimental",1
Hepatitis C,1
Staphylococcal Infections,1
"Carcinoma, Adenoid Cystic",1
"Osteoarthritis, Knee",1
Nephrosclerosis,1
Herpesviridae Infections,1
"Adenocarcinoma, Mucinous",1
Pterygium,1
Picornaviridae Infections,1
Encephalitis,1
Glaucoma,1
Osteolysis,1
"Leprosy, Lepromatous",1
"Leprosy, Tuberculoid",1
Eosinophilia,1
Cushing Syndrome,1
"Liver Failure, Acute",1
Tumor Virus Infections,1
Entamoebiasis,1
Endodermal Sinus Tumor,1
Peritoneal Diseases,1
Foodborne Diseases,1
Alcoholism,1
Respiratory Syncytial Virus Infections,1
Pregnancy Complications,1
Malaria,1
